object_type,schema,object,grantee,privilege
TABLE,public,alembic_version,payroll_owner,INSERT
TABLE,public,alembic_version,payroll_owner,SELECT
TABLE,public,alembic_version,payroll_owner,UPDATE
TABLE,public,alembic_version,payroll_owner,DELETE
TABLE,public,alembic_version,payroll_owner,TRUNCATE
TABLE,public,alembic_version,payroll_owner,REFERENCES
TABLE,public,alembic_version,payroll_owner,TRIGGER
TABLE,public,alembic_version,payroll_owner,MAINTAIN
TABLE,public,alembic_version,payroll_app,SELECT
TABLE,core,budget_posts,payroll_user,INSERT
TABLE,core,budget_posts,payroll_user,SELECT
TABLE,core,budget_posts,payroll_user,UPDATE
TABLE,core,budget_posts,payroll_user,DELETE
TABLE,core,budget_posts,payroll_user,TRUNCATE
TABLE,core,budget_posts,payroll_user,REFERENCES
TABLE,core,budget_posts,payroll_user,TRIGGER
TABLE,core,budget_posts,payroll_user,MAINTAIN
TABLE,core,budget_posts,payroll_app,INSERT
TABLE,core,budget_posts,payroll_app,SELECT
TABLE,core,budget_posts,payroll_app,UPDATE
TABLE,core,budget_posts,payroll_app,DELETE
TABLE,core,budget_posts,payroll_ro,SELECT
TABLE,core,employee_job_history,payroll_user,INSERT
TABLE,core,employee_job_history,payroll_user,SELECT
TABLE,core,employee_job_history,payroll_user,UPDATE
TABLE,core,employee_job_history,payroll_user,DELETE
TABLE,core,employee_job_history,payroll_user,TRUNCATE
TABLE,core,employee_job_history,payroll_user,REFERENCES
TABLE,core,employee_job_history,payroll_user,TRIGGER
TABLE,core,employee_job_history,payroll_user,MAINTAIN
TABLE,core,employee_job_history,payroll_app,INSERT
TABLE,core,employee_job_history,payroll_app,SELECT
TABLE,core,employee_job_history,payroll_app,UPDATE
TABLE,core,employee_job_history,payroll_app,DELETE
TABLE,core,employee_job_history,payroll_ro,SELECT
TABLE,core,employees,postgres,INSERT
TABLE,core,employees,postgres,SELECT
TABLE,core,employees,postgres,UPDATE
TABLE,core,employees,postgres,DELETE
TABLE,core,employees,postgres,TRUNCATE
TABLE,core,employees,postgres,REFERENCES
TABLE,core,employees,postgres,TRIGGER
TABLE,core,employees,postgres,MAINTAIN
TABLE,core,employees,payroll_app,INSERT
TABLE,core,employees,payroll_app,SELECT
TABLE,core,employees,payroll_app,UPDATE
TABLE,core,employees,payroll_app,DELETE
TABLE,core,employees,payroll_ro,SELECT
TABLE,core,job_categories,payroll_user,INSERT
TABLE,core,job_categories,payroll_user,SELECT
TABLE,core,job_categories,payroll_user,UPDATE
TABLE,core,job_categories,payroll_user,DELETE
TABLE,core,job_categories,payroll_user,TRUNCATE
TABLE,core,job_categories,payroll_user,REFERENCES
TABLE,core,job_categories,payroll_user,TRIGGER
TABLE,core,job_categories,payroll_user,MAINTAIN
TABLE,core,job_categories,payroll_app,INSERT
TABLE,core,job_categories,payroll_app,SELECT
TABLE,core,job_categories,payroll_app,UPDATE
TABLE,core,job_categories,payroll_app,DELETE
TABLE,core,job_categories,payroll_ro,SELECT
TABLE,core,job_codes,payroll_user,INSERT
TABLE,core,job_codes,payroll_user,SELECT
TABLE,core,job_codes,payroll_user,UPDATE
TABLE,core,job_codes,payroll_user,DELETE
TABLE,core,job_codes,payroll_user,TRUNCATE
TABLE,core,job_codes,payroll_user,REFERENCES
TABLE,core,job_codes,payroll_user,TRIGGER
TABLE,core,job_codes,payroll_user,MAINTAIN
TABLE,core,job_codes,payroll_app,INSERT
TABLE,core,job_codes,payroll_app,SELECT
TABLE,core,job_codes,payroll_app,UPDATE
TABLE,core,job_codes,payroll_app,DELETE
TABLE,core,job_codes,payroll_ro,SELECT
TABLE,core,pay_codes,payroll_user,INSERT
TABLE,core,pay_codes,payroll_user,SELECT
TABLE,core,pay_codes,payroll_user,UPDATE
TABLE,core,pay_codes,payroll_user,DELETE
TABLE,core,pay_codes,payroll_user,TRUNCATE
TABLE,core,pay_codes,payroll_user,REFERENCES
TABLE,core,pay_codes,payroll_user,TRIGGER
TABLE,core,pay_codes,payroll_user,MAINTAIN
TABLE,core,pay_codes,payroll_app,INSERT
TABLE,core,pay_codes,payroll_app,SELECT
TABLE,core,pay_codes,payroll_app,UPDATE
TABLE,core,pay_codes,payroll_app,DELETE
TABLE,core,pay_codes,payroll_ro,SELECT
TABLE,payroll,budget_posts,postgres,INSERT
TABLE,payroll,budget_posts,postgres,SELECT
TABLE,payroll,budget_posts,postgres,UPDATE
TABLE,payroll,budget_posts,postgres,DELETE
TABLE,payroll,budget_posts,postgres,TRUNCATE
TABLE,payroll,budget_posts,postgres,REFERENCES
TABLE,payroll,budget_posts,postgres,TRIGGER
TABLE,payroll,budget_posts,postgres,MAINTAIN
TABLE,payroll,budget_posts,payroll_app,INSERT
TABLE,payroll,budget_posts,payroll_app,SELECT
TABLE,payroll,budget_posts,payroll_app,UPDATE
TABLE,payroll,budget_posts,payroll_app,DELETE
TABLE,payroll,budget_posts,payroll_ro,SELECT
TABLE,payroll,import_batches,postgres,INSERT
TABLE,payroll,import_batches,postgres,SELECT
TABLE,payroll,import_batches,postgres,UPDATE
TABLE,payroll,import_batches,postgres,DELETE
TABLE,payroll,import_batches,postgres,TRUNCATE
TABLE,payroll,import_batches,postgres,REFERENCES
TABLE,payroll,import_batches,postgres,TRIGGER
TABLE,payroll,import_batches,postgres,MAINTAIN
TABLE,payroll,import_batches,payroll_app,INSERT
TABLE,payroll,import_batches,payroll_app,SELECT
TABLE,payroll,import_batches,payroll_app,UPDATE
TABLE,payroll,import_batches,payroll_app,DELETE
TABLE,payroll,import_batches,payroll_ro,SELECT
TABLE,payroll,imported_payroll_master,payroll_user,INSERT
TABLE,payroll,imported_payroll_master,payroll_user,SELECT
TABLE,payroll,imported_payroll_master,payroll_user,UPDATE
TABLE,payroll,imported_payroll_master,payroll_user,DELETE
TABLE,payroll,imported_payroll_master,payroll_user,TRUNCATE
TABLE,payroll,imported_payroll_master,payroll_user,REFERENCES
TABLE,payroll,imported_payroll_master,payroll_user,TRIGGER
TABLE,payroll,imported_payroll_master,payroll_user,MAINTAIN
TABLE,payroll,imported_payroll_master,payroll_app,INSERT
TABLE,payroll,imported_payroll_master,payroll_app,SELECT
TABLE,payroll,imported_payroll_master,payroll_app,UPDATE
TABLE,payroll,imported_payroll_master,payroll_app,DELETE
TABLE,payroll,kpi_snapshot,payroll_owner,INSERT
TABLE,payroll,kpi_snapshot,payroll_owner,SELECT
TABLE,payroll,kpi_snapshot,payroll_owner,UPDATE
TABLE,payroll,kpi_snapshot,payroll_owner,DELETE
TABLE,payroll,kpi_snapshot,payroll_owner,TRUNCATE
TABLE,payroll,kpi_snapshot,payroll_owner,REFERENCES
TABLE,payroll,kpi_snapshot,payroll_owner,TRIGGER
TABLE,payroll,kpi_snapshot,payroll_owner,MAINTAIN
TABLE,payroll,kpi_snapshot,payroll_app,INSERT
TABLE,payroll,kpi_snapshot,payroll_app,SELECT
TABLE,payroll,kpi_snapshot,payroll_app,UPDATE
TABLE,payroll,kpi_snapshot,payroll_app,DELETE
TABLE,payroll,kpi_snapshot,payroll_ro,SELECT
TABLE,payroll,pay_periods,payroll_user,INSERT
TABLE,payroll,pay_periods,payroll_user,SELECT
TABLE,payroll,pay_periods,payroll_user,UPDATE
TABLE,payroll,pay_periods,payroll_user,DELETE
TABLE,payroll,pay_periods,payroll_user,TRUNCATE
TABLE,payroll,pay_periods,payroll_user,REFERENCES
TABLE,payroll,pay_periods,payroll_user,TRIGGER
TABLE,payroll,pay_periods,payroll_user,MAINTAIN
TABLE,payroll,pay_periods,payroll_app,INSERT
TABLE,payroll,pay_periods,payroll_app,SELECT
TABLE,payroll,pay_periods,payroll_app,UPDATE
TABLE,payroll,pay_periods,payroll_app,DELETE
TABLE,payroll,pay_periods,payroll_ro,SELECT
TABLE,payroll,payroll_transactions,postgres,INSERT
TABLE,payroll,payroll_transactions,postgres,SELECT
TABLE,payroll,payroll_transactions,postgres,UPDATE
TABLE,payroll,payroll_transactions,postgres,DELETE
TABLE,payroll,payroll_transactions,postgres,TRUNCATE
TABLE,payroll,payroll_transactions,postgres,REFERENCES
TABLE,payroll,payroll_transactions,postgres,TRIGGER
TABLE,payroll,payroll_transactions,postgres,MAINTAIN
TABLE,payroll,payroll_transactions,payroll_app,INSERT
TABLE,payroll,payroll_transactions,payroll_app,SELECT
TABLE,payroll,payroll_transactions,payroll_app,UPDATE
TABLE,payroll,payroll_transactions,payroll_app,DELETE
TABLE,payroll,payroll_transactions,payroll_ro,SELECT
TABLE,payroll,payroll_transactions_2024,postgres,INSERT
TABLE,payroll,payroll_transactions_2024,postgres,SELECT
TABLE,payroll,payroll_transactions_2024,postgres,UPDATE
TABLE,payroll,payroll_transactions_2024,postgres,DELETE
TABLE,payroll,payroll_transactions_2024,postgres,TRUNCATE
TABLE,payroll,payroll_transactions_2024,postgres,REFERENCES
TABLE,payroll,payroll_transactions_2024,postgres,TRIGGER
TABLE,payroll,payroll_transactions_2024,postgres,MAINTAIN
TABLE,payroll,payroll_transactions_2024,payroll_app,INSERT
TABLE,payroll,payroll_transactions_2024,payroll_app,SELECT
TABLE,payroll,payroll_transactions_2024,payroll_app,UPDATE
TABLE,payroll,payroll_transactions_2024,payroll_app,DELETE
TABLE,payroll,payroll_transactions_2024,payroll_ro,SELECT
TABLE,payroll,payroll_transactions_2025,postgres,INSERT
TABLE,payroll,payroll_transactions_2025,postgres,SELECT
TABLE,payroll,payroll_transactions_2025,postgres,UPDATE
TABLE,payroll,payroll_transactions_2025,postgres,DELETE
TABLE,payroll,payroll_transactions_2025,postgres,TRUNCATE
TABLE,payroll,payroll_transactions_2025,postgres,REFERENCES
TABLE,payroll,payroll_transactions_2025,postgres,TRIGGER
TABLE,payroll,payroll_transactions_2025,postgres,MAINTAIN
TABLE,payroll,payroll_transactions_2025,payroll_app,INSERT
TABLE,payroll,payroll_transactions_2025,payroll_app,SELECT
TABLE,payroll,payroll_transactions_2025,payroll_app,UPDATE
TABLE,payroll,payroll_transactions_2025,payroll_app,DELETE
TABLE,payroll,payroll_transactions_2025,payroll_ro,SELECT
TABLE,payroll,payroll_transactions_2026,postgres,INSERT
TABLE,payroll,payroll_transactions_2026,postgres,SELECT
TABLE,payroll,payroll_transactions_2026,postgres,UPDATE
TABLE,payroll,payroll_transactions_2026,postgres,DELETE
TABLE,payroll,payroll_transactions_2026,postgres,TRUNCATE
TABLE,payroll,payroll_transactions_2026,postgres,REFERENCES
TABLE,payroll,payroll_transactions_2026,postgres,TRIGGER
TABLE,payroll,payroll_transactions_2026,postgres,MAINTAIN
TABLE,payroll,payroll_transactions_2026,payroll_app,INSERT
TABLE,payroll,payroll_transactions_2026,payroll_app,SELECT
TABLE,payroll,payroll_transactions_2026,payroll_app,UPDATE
TABLE,payroll,payroll_transactions_2026,payroll_app,DELETE
TABLE,payroll,payroll_transactions_2026,payroll_ro,SELECT
TABLE,payroll,stg_imported_payroll,postgres,INSERT
TABLE,payroll,stg_imported_payroll,postgres,SELECT
TABLE,payroll,stg_imported_payroll,postgres,UPDATE
TABLE,payroll,stg_imported_payroll,postgres,DELETE
TABLE,payroll,stg_imported_payroll,postgres,TRUNCATE
TABLE,payroll,stg_imported_payroll,postgres,REFERENCES
TABLE,payroll,stg_imported_payroll,postgres,TRIGGER
TABLE,payroll,stg_imported_payroll,postgres,MAINTAIN
TABLE,payroll,stg_imported_payroll,payroll_app,INSERT
TABLE,payroll,stg_imported_payroll,payroll_app,SELECT
TABLE,payroll,stg_imported_payroll,payroll_app,UPDATE
TABLE,payroll,stg_imported_payroll,payroll_app,DELETE
TABLE,payroll,stg_imported_payroll,payroll_app,TRUNCATE
TABLE,payroll,stg_imported_payroll,payroll_app,REFERENCES
TABLE,payroll,stg_imported_payroll,payroll_app,TRIGGER
TABLE,payroll,stg_imported_payroll,payroll_app,MAINTAIN
TABLE,payroll,stg_imported_payroll,payroll_ro,SELECT
TABLE,reference,budget_posts,postgres,INSERT
TABLE,reference,budget_posts,postgres,SELECT
TABLE,reference,budget_posts,postgres,UPDATE
TABLE,reference,budget_posts,postgres,DELETE
TABLE,reference,budget_posts,postgres,TRUNCATE
TABLE,reference,budget_posts,postgres,REFERENCES
TABLE,reference,budget_posts,postgres,TRIGGER
TABLE,reference,budget_posts,postgres,MAINTAIN
TABLE,reference,budget_posts,payroll_app,INSERT
TABLE,reference,budget_posts,payroll_app,SELECT
TABLE,reference,budget_posts,payroll_app,UPDATE
TABLE,reference,budget_posts,payroll_ro,SELECT
TABLE,reference,pay_code_mappings,payroll_user,INSERT
TABLE,reference,pay_code_mappings,payroll_user,SELECT
TABLE,reference,pay_code_mappings,payroll_user,UPDATE
TABLE,reference,pay_code_mappings,payroll_user,DELETE
TABLE,reference,pay_code_mappings,payroll_user,TRUNCATE
TABLE,reference,pay_code_mappings,payroll_user,REFERENCES
TABLE,reference,pay_code_mappings,payroll_user,TRIGGER
TABLE,reference,pay_code_mappings,payroll_user,MAINTAIN
TABLE,reference,pay_code_mappings,payroll_app,INSERT
TABLE,reference,pay_code_mappings,payroll_app,SELECT
TABLE,reference,pay_code_mappings,payroll_app,UPDATE
TABLE,reference,pay_code_mappings,payroll_ro,SELECT
TABLE,reference,pay_codes,postgres,INSERT
TABLE,reference,pay_codes,postgres,SELECT
TABLE,reference,pay_codes,postgres,UPDATE
TABLE,reference,pay_codes,postgres,DELETE
TABLE,reference,pay_codes,postgres,TRUNCATE
TABLE,reference,pay_codes,postgres,REFERENCES
TABLE,reference,pay_codes,postgres,TRIGGER
TABLE,reference,pay_codes,postgres,MAINTAIN
TABLE,reference,pay_codes,payroll_app,INSERT
TABLE,reference,pay_codes,payroll_app,SELECT
TABLE,reference,pay_codes,payroll_app,UPDATE
TABLE,reference,pay_codes,payroll_ro,SELECT
TABLE,reference,sign_policies,payroll_user,INSERT
TABLE,reference,sign_policies,payroll_user,SELECT
TABLE,reference,sign_policies,payroll_user,UPDATE
TABLE,reference,sign_policies,payroll_user,DELETE
TABLE,reference,sign_policies,payroll_user,TRUNCATE
TABLE,reference,sign_policies,payroll_user,REFERENCES
TABLE,reference,sign_policies,payroll_user,TRIGGER
TABLE,reference,sign_policies,payroll_user,MAINTAIN
TABLE,reference,sign_policies,payroll_app,INSERT
TABLE,reference,sign_policies,payroll_app,SELECT
TABLE,reference,sign_policies,payroll_app,UPDATE
TABLE,reference,sign_policies,payroll_ro,SELECT
